epoch,d_loss,g_loss,e_loss,recon_loss,kl_loss
1,4.6466,2.6415,2.5905,0.0518,7.2015
2,4.9415,1.9688,1.9378,0.0387,8.3998
3,4.8828,1.9454,1.9103,0.0382,7.6753
4,4.4505,1.9785,1.9086,0.0381,6.7824
5,4.1267,2.0087,1.8928,0.0378,5.5332
6,4.0333,2.0916,1.8836,0.0376,4.5370
7,3.8193,2.1338,1.8766,0.0375,4.1424
8,3.3782,2.1738,1.8572,0.0371,4.0810
9,3.0368,2.2888,1.8342,0.0366,5.0300
10,2.7257,2.2970,1.8138,0.0362,5.0684
11,2.4542,2.2888,1.7931,0.0358,4.2647
12,2.3185,2.2403,1.7664,0.0352,4.6202
13,2.0379,2.2727,1.7419,0.0347,4.3893
14,1.9089,2.2601,1.6984,0.0338,4.5474
15,1.8403,2.1853,1.6789,0.0334,5.6707
16,1.7830,2.1803,1.6357,0.0325,5.3166
17,1.7714,2.1497,3.2305,0.0325,943.8420
18,1.7059,2.2252,1.6396,0.0326,4.5860
19,1.5798,2.2071,1.5897,0.0316,4.8909
20,1.7084,2.0797,2.1799,0.0316,299.6685
21,1.6137,2.2902,1.6423,0.0326,4.7039
22,1.6198,2.1947,1.8785,0.0326,114.0227
23,1.5834,2.2494,1.6320,0.0324,4.8828
24,1.4969,2.1925,1.5679,0.0311,4.6893
25,1.5851,2.1040,1.5133,0.0300,4.8928
26,1.4808,2.0693,1.4829,0.0294,4.6523
27,1.5005,2.1052,1.4479,0.0287,4.8399
28,1.6594,2.0091,1.4258,0.0282,6.1548
29,1.5566,1.9834,1.3831,0.0274,5.2804
30,1.6677,1.9759,1.3378,0.0264,5.3429
31,1.5158,1.9333,1.3083,0.0258,5.3956
32,1.4853,1.9409,1.2784,0.0252,5.6337
33,1.5469,1.8397,1.2640,0.0248,6.6270
34,1.6001,1.8148,1.2080,0.0238,5.5801
35,1.5898,1.9966,56.3881,0.0275,15718.3511
36,1.6249,2.3522,1.7459,0.0346,4.7502
37,1.5325,2.4144,1.7009,0.0336,5.1989
38,1.5220,2.2632,1.6611,0.0328,5.3405
39,1.6416,2.2188,1.6023,0.0316,6.3302
40,1.5455,2.1259,1.5511,0.0306,5.3376
41,1.5122,2.1857,1.5096,0.0297,5.4292
42,1.4117,2.1082,1.4670,0.0289,5.6859
43,1.5411,2.0089,1.4275,0.0281,5.8020
44,1.5359,1.9734,1.3669,0.0268,5.6403
45,1.4076,2.0654,1.3200,0.0259,5.6675
46,1.3902,1.9338,1.2923,0.0253,5.5800
47,1.5217,1.8779,1.2516,0.0245,5.6785
48,1.5046,1.7885,1.2219,0.0239,5.6026
49,1.6100,1.7996,1.1708,0.0229,5.5365
50,1.4613,1.8101,1.1547,0.0225,5.5899
51,1.5293,1.7355,1.1159,0.0217,5.6522
52,1.5496,1.7138,1.0960,0.0213,5.6687
53,1.5566,1.6747,1.0578,0.0206,5.5812
54,1.4985,1.6697,1.0236,0.0199,5.5494
55,1.5740,1.6106,1.0144,0.0197,5.6180
56,1.5317,1.6007,0.9859,0.0191,5.5738
57,1.6204,1.5108,0.9555,0.0185,5.5550
58,1.5745,1.4792,0.9338,0.0180,5.6074
59,1.5869,1.5186,0.9099,0.0175,5.6921
60,1.5636,1.4475,0.8963,0.0172,5.7726
61,1.5393,1.4737,0.8704,0.0167,5.7623
62,1.5271,1.4301,0.8443,0.0162,5.7789
63,1.5203,1.4148,0.8545,0.0161,7.8216
64,1.4533,1.4867,0.8187,0.0156,5.9097
65,1.4427,1.4498,0.8055,0.0153,6.0410
66,1.4691,1.3695,0.7779,0.0148,5.8950
67,1.4530,1.3625,0.7642,0.0145,5.9229
68,1.4992,1.3784,0.7569,0.0143,5.9110
69,1.4350,1.3977,0.7415,0.0140,5.9944
70,1.3635,1.3629,0.7504,0.0142,6.0362
71,1.5365,1.2958,0.7293,0.0137,6.0706
72,1.5010,1.3821,0.7115,0.0134,6.0803
73,1.4069,1.3383,0.7012,0.0131,6.0299
74,1.5079,1.2885,0.6812,0.0127,6.0461
75,1.4965,1.3142,0.6774,0.0126,6.0668
76,1.3676,1.3071,0.6899,0.0129,6.1311
77,1.5454,1.2193,0.6511,0.0121,6.1898
78,1.4414,1.2707,0.6415,0.0119,6.2137
79,1.4732,1.2125,0.6280,0.0116,6.2033
80,1.4737,1.2372,0.6212,0.0114,6.2171
81,1.4802,1.2080,0.6037,0.0111,6.2331
82,1.4695,1.2324,0.6147,0.0113,6.3449
83,1.4945,1.2123,0.6122,0.0112,6.4156
84,1.4275,1.2345,0.5940,0.0108,6.3706
85,1.4949,1.2003,0.5845,0.0106,6.3902
86,1.5125,1.1441,0.5737,0.0104,6.3992
87,1.4973,1.1837,0.5710,0.0103,6.4332
88,1.4886,1.1267,0.5583,0.0100,6.4359
89,1.3479,1.2312,0.5608,0.0101,6.4453
90,1.5107,1.1509,0.5479,0.0098,6.3698
91,1.4824,1.1643,0.5443,0.0097,6.3833
92,1.4373,1.1187,0.5419,0.0096,6.4648
93,1.4591,1.1316,0.5425,0.0096,6.8277
94,1.4511,1.1476,0.5256,0.0093,6.3928
95,1.5159,1.0512,0.5180,0.0091,6.3980
96,1.3871,1.1838,0.5154,0.0091,6.4286
97,1.4633,1.1027,0.5119,0.0090,6.4662
98,1.4482,1.0860,0.5047,0.0088,6.4540
99,1.4720,1.1441,0.5070,0.0089,6.5017
100,1.3245,1.2055,0.5060,0.0088,6.4942
101,1.5026,1.0619,0.5030,0.0088,6.4575
102,1.4569,1.1216,0.4985,0.0087,6.4698
103,1.4371,1.1354,0.4976,0.0086,6.5670
104,1.5618,1.0804,0.5006,0.0087,6.5673
105,1.4782,1.1343,0.4838,0.0084,6.5553
106,1.5128,1.0166,0.4719,0.0081,6.5732
107,1.4261,1.0786,0.4668,0.0080,6.5127
108,1.4704,1.0452,0.4649,0.0080,6.5461
109,1.4035,1.1030,0.4717,0.0081,6.6396
110,1.4437,1.0830,0.5203,0.0090,6.7903
111,1.4226,1.1258,0.4792,0.0083,6.2632
112,1.3492,1.1263,0.4524,0.0078,6.3097
113,1.5033,1.0178,0.4436,0.0076,6.3364
114,1.4085,1.0211,0.4454,0.0076,6.4506
115,1.4446,1.0847,0.4328,0.0074,6.3683
116,1.4036,1.0030,0.4284,0.0073,6.3177
117,1.5275,1.0287,0.4289,0.0073,6.3571
118,1.4941,1.0198,0.4236,0.0072,6.3076
119,1.4677,1.0404,0.4116,0.0070,6.4053
120,1.4333,1.0914,0.4105,0.0069,6.4233
121,1.4497,0.9802,0.4131,0.0070,6.4934
122,1.4781,0.9935,0.4016,0.0067,6.4787
123,1.4770,1.0163,0.3942,0.0066,6.4178
124,1.4486,0.9825,0.3879,0.0065,6.4682
125,1.4617,1.0137,0.3820,0.0064,6.4438
126,1.4073,0.9637,0.3830,0.0064,6.5221
127,1.4776,0.9635,0.3833,0.0064,6.5384
128,1.4220,1.0151,0.3774,0.0062,6.5788
129,1.4971,1.0121,0.3754,0.0062,6.5335
130,1.4126,0.9994,0.3765,0.0062,6.6248
131,1.4018,0.9978,0.3710,0.0061,6.5783
132,1.4296,0.9365,0.3611,0.0059,6.6363
133,1.4236,0.9994,0.3600,0.0059,6.6483
134,1.4785,0.9636,0.3596,0.0059,6.5578
135,1.4564,0.9630,0.3644,0.0060,6.5387
136,1.4953,0.9968,0.3588,0.0059,6.5282
137,1.4320,0.9560,0.3527,0.0057,6.5363
138,1.4674,0.9795,0.3492,0.0057,6.6343
139,1.3883,0.9949,0.3459,0.0056,6.5693
140,1.4069,0.9841,0.3658,0.0060,6.5132
141,1.4465,0.9937,0.3385,0.0055,6.5271
142,1.5162,0.9098,0.3334,0.0053,6.6358
143,1.4274,0.9383,0.3244,0.0052,6.6114
144,1.4506,0.9139,0.3165,0.0050,6.6099
145,1.3619,1.0123,0.3206,0.0051,6.6641
146,1.4567,0.9230,0.3150,0.0050,6.5993
147,1.3105,1.0314,0.3315,0.0053,6.7375
148,1.4125,0.8848,0.3339,0.0053,6.7226
149,1.3385,1.0216,0.3389,0.0054,6.7999
150,1.4438,0.9902,0.3224,0.0051,6.7224
151,1.4358,0.9074,0.3135,0.0049,6.6712
152,1.3936,0.9400,0.3138,0.0049,6.6488
153,1.4024,0.9521,0.3087,0.0048,6.6632
154,1.4523,0.9358,0.3006,0.0047,6.6254
155,1.4754,0.9274,0.2955,0.0046,6.5712
156,1.5127,0.8730,0.2858,0.0044,6.5012
157,1.4346,0.8978,0.2876,0.0044,6.5473
158,1.4649,0.8857,0.2865,0.0044,6.4427
159,1.4411,0.8909,0.2887,0.0045,6.4621
160,1.4354,0.8745,0.2807,0.0043,6.3497
161,1.3610,0.9732,0.2869,0.0044,6.4665
162,1.4500,0.9740,0.2924,0.0045,6.6608
163,1.3686,0.9642,0.3218,0.0051,6.6142
164,1.4128,0.9845,0.3154,0.0049,7.0027
165,1.4322,2.2055,1.9048,0.0306,37.4282
166,1.3970,1.7799,1.1905,0.0224,7.1874
167,1.4006,1.2061,0.5069,0.0087,7.4217
168,1.4420,1.0097,0.3644,0.0059,7.0008
169,1.3909,0.9352,0.3277,0.0052,6.6461
170,1.4435,0.9089,0.2892,0.0045,6.4187
171,1.5259,0.8868,0.3173,0.0050,6.5607
172,1.3287,0.9873,0.3014,0.0047,6.4760
173,1.4374,0.9407,0.2747,0.0042,6.3889
174,1.4217,0.8694,0.2619,0.0040,6.1652
